description_id,unstructured_description,source_channel,clean_text,category,color,size,brand,material,features,season,annotated_text
DESC0133,"After Black option in XXL, preferably Pants.",Phone,black option xxl preferably pants,pants,black,xxl,,,,,black(color:black) option xxl(size:xxl) preferably pants(category:pants)
DESC0134,"Hi there, do you happen to have the brown jeans from Urban in size XL? Thanks so much!",Website,hi happen brown jeans urban size xl thanks much,jeans,brown,xl,urban,,,,hi happen brown(color:brown) jeans(category:jeans) urban(brand:urban) size xl(size:xl) thanks much
DESC0135,"Good afternoon, I'm checking if you carry the blue turtleneck from Urban in size L? Let me know what's possible.",Marketplace,good afternoon im checking carry blue turtleneck urban size l let know whats possible,turtleneck,blue,l,urban,,,,good afternoon im checking carry blue(color:blue) turtleneck(category:turtleneck) urban(brand:urban) size l(size:l) let know whats possible
DESC0136,"Hey team, I'm hoping to order the blue sandals from Modern in size XL? Thanks so much!",Phone,hey team im hoping order blue sandals modern size xl thanks much,sandals,blue,xl,modern,,,,hey team im hoping order blue(color:blue) sandals(category:sandals) modern(brand:modern) size xl(size:xl) thanks much
DESC0137,Do you have any tops options suitable for Winter 2025?,Phone,tops options suitable winter 2025,tops,,,,,,winter 2025,tops(category:tops) options suitable winter 2025(season:winter 2025)
DESC0138,"After Charcoal option in M, preferably Blouse.",Marketplace,charcoal option m preferably blouse,blouse,charcoal,m,,,,,charcoal(color:charcoal) option m(size:m) preferably blouse(category:blouse)
DESC0139,"Want jeans with breathable performance, gray in XXL for Fall 2024.",Marketplace,want jeans breathable performance gray xxl fall 2024,jeans,gray,xxl,,,breathable,fall 2024,want jeans(category:jeans) breathable(feature:breathable) performance gray(color:gray) xxl(size:xxl) fall 2024(season:fall 2024)
DESC0140,"Looking for well-ventilated brown t-shirt in L, ideally cotton.",Phone,looking well-ventilated brown t-shirt l ideally cotton,shirt,brown,l,,cotton,,,looking well-ventilated brown(color:brown) t-shirt(category:shirt) l(size:l) ideally cotton(material:cotton)
DESC0141,"Good afternoon, I'm hoping to order the white t-shirt from Nordic in size L? Thanks in advance!",Chat,good afternoon im hoping order white t-shirt nordic size l thanks advance,shirt,white,l,nordic,,,,good afternoon im hoping order white(color:white) t-shirt(category:shirt) nordic(brand:nordic) size l(size:l) thanks advance
DESC0142,"Want polo with airy performance, blue in M for Summer 2024.",Email,want polo airy performance blue m summer 2024,polo,blue,m,,,,summer 2024,want polo(category:polo) airy performance blue(color:blue) m(size:m) summer 2024(season:summer 2024)
DESC0143,Nordic Gown in Olive size XS,Phone,nordic gown olive size xs,gown,olive,xs,nordic,,,,nordic(brand:nordic) gown(category:gown) olive(color:olive) size xs(size:xs)
DESC0144,Do you carry Essential Parka for Winter 2024?,Website,carry essential parka winter 2024,parka,,,essential,,,winter 2024,carry essential(brand:essential) parka(category:parka) winter 2024(season:winter 2024)
DESC0145,"Want polo with moisture-wicking performance, white in L for Spring 2025.",Phone,want polo moisture-wicking performance white l spring 2025,polo,white,l,,,moisture-wicking,spring 2025,want polo(category:polo) moisture-wicking(feature:moisture-wicking) performance white(color:white) l(size:l) spring 2025(season:spring 2025)
DESC0146,Need Comfort Jacket Gray size M,Website,need comfort jacket gray size m,jacket,gray,m,comfort,,,,need comfort(brand:comfort) jacket(category:jacket) gray(color:gray) size m(size:m)
DESC0147,"Do you have the lassic Blaer in oilve, size M?",Marketplace,lassic blaer oilve size m,blazer,olive,m,classic,,,,lassic(brand:classic) blaer(category:blazer) oilve(color:olive) size m(size:m)
DESC0148,"I want Elite's noir skirt in XXL, please.",Email,want elites noir skirt xxl please,skirt,,xxl,elite,,,,want elites(brand:elite) noir skirt(category:skirt) xxl(size:xxl) please
DESC0149,"Need size XXL Turtleneck this season, any brand works.",Marketplace,need size xxl turtleneck season brand works,turtleneck,,xxl,,,,,need size xxl(size:xxl) turtleneck(category:turtleneck) season brand works
DESC0150,"Need green jeans that are well-ventilated for Fall 2024, size M.",Website,need green jeans well-ventilated fall 2024 size m,jeans,green,m,,,,fall 2024,need green(color:green) jeans(category:jeans) well-ventilated fall 2024(season:fall 2024) size m(size:m)
DESC0151,"Do you have the Prremium Jackt in lue, size XS?",Website,prremium jackt lue size xs,jacket,blue,xs,premium,,,,prremium(brand:premium) jackt(category:jacket) lue(color:blue) size xs(size:xs)
DESC0152,"Searching for the Alpine skirt finished in ecru, XXL size.",Phone,searching alpine skirt finished ecru xxl size,skirt,,xxl,alpine,,,,searching alpine(brand:alpine) skirt(category:skirt) finished ecru xxl(size:xxl) size
DESC0153,Looking for Classic Shirt Charcoal XXL,Phone,looking classic shirt charcoal xxl,shirt,charcoal,xxl,classic,,,,looking classic(brand:classic) shirt(category:shirt) charcoal(color:charcoal) xxl(size:xxl)
DESC0154,"Need green sweater that is flexible for Winter 2025, size XL.",Chat,need green sweater flexible winter 2025 size xl,sweater,green,xl,,,,winter 2025,need green(color:green) sweater(category:sweater) flexible winter 2025(season:winter 2025) size xl(size:xl)
DESC0155,"Searching for versatile outerwear, preferably XS.",Email,searching versatile outerwear preferably xs,outerwear,,xs,,,,,searching versatile outerwear(category:outerwear) preferably xs(size:xs)
DESC0156,Need Comffort's phite Yress sz XXL asap.,Phone,need comfforts phite yress sz xxl asap,,white,xxl,comfort,,,,need comfforts(brand:comfort) phite(color:white) yress sz xxl(size:xxl) asap
DESC0157,"Hi, could you help me find the blue vest from Elite in size XL? Let me know what's possible.",Email,hi could help find blue vest elite size xl let know whats possible,vest,blue,xl,elite,,,,hi could help find blue(color:blue) vest(category:vest) elite(brand:elite) size xl(size:xl) let know whats possible
DESC0158,Nordic Jacket in Blue size M,Website,nordic jacket blue size m,jacket,blue,m,nordic,,,,nordic(brand:nordic) jacket(category:jacket) blue(color:blue) size m(size:m)
DESC0159,"Do you have the Elitte Dresss in brwn, size XXL?",Email,elitte dresss brwn size xxl,dresses,brown,xxl,elite,,,,elitte(brand:elite) dresss(category:dresses) brwn(color:brown) size xxl(size:xxl)
DESC0160,"After Gray option in S, preferably Jeans.",Phone,gray option s preferably jeans,jeans,gray,s,,,,,gray(color:gray) option s(size:s) preferably jeans(category:jeans)
DESC0161,Do you carry Urban Parka for Winter 2024?,Website,carry urban parka winter 2024,parka,,,urban,,,winter 2024,carry urban(brand:urban) parka(category:parka) winter 2024(season:winter 2024)
DESC0162,"Need cream blazer that is waterproof for Winter 2025, size XXL.",Chat,need cream blazer waterproof winter 2025 size xxl,blazer,cream,xxl,,,waterproof,winter 2025,need cream(color:cream) blazer(category:blazer) waterproof(feature:waterproof) winter 2025(season:winter 2025) size xxl(size:xxl)
DESC0163,"Looking for wrinkle-free and high-stretch brown pants in M, ideally linen.",Email,looking wrinkle-free high-stretch brown pants m ideally linen,pants,brown,m,,linen,wrinkle-free|stretch,,looking wrinkle-free(feature:wrinkle-free) high-stretch(feature:stretch) brown(color:brown) pants(category:pants) m(size:m) ideally linen(material:linen)
DESC0164,Looking for the olive tone outerwear piece from Urban in M.,Phone,looking olive tone outerwear piece urban m,outerwear,olive,m,urban,,,,looking olive(color:olive) tone outerwear(category:outerwear) piece urban(brand:urban) m(size:m)
DESC0165,Do you carry Elite Vest for Fall 2025?,Website,carry elite vest fall 2025,vest,,,elite,,,fall 2025,carry elite(brand:elite) vest(category:vest) fall 2025(season:fall 2025)
DESC0166,"Need size XS Boots this season, any brand works.",Chat,need size xs boots season brand works,boots,,xs,,,,,need size xs(size:xs) boots(category:boots) season brand works
DESC0167,Need Stmle's ggray Sandzls sz M asap.,Email,need stmles ggray sandzls sz m asap,sandals,gray,m,,,,,need stmles ggray(color:gray) sandzls(category:sandals) sz m(size:m) asap
DESC0168,Looking for the camel roll-neck from Classic in S.,Email,looking camel roll-neck classic s,,,s,classic,,,,looking camel roll-neck classic(brand:classic) s(size:s)
DESC0169,"Green Dress from Comfort, size M",Marketplace,green dress comfort size m,dress,green,m,comfort,,,,green(color:green) dress(category:dress) comfort(brand:comfort) size m(size:m)
DESC0170,"Do you have the Prmeium Pollo in charrcoal, size L?",Website,prmeium pollo charrcoal size l,polo,charcoal,l,premium,,,,prmeium(brand:premium) pollo(category:polo) charrcoal(color:charcoal) size l(size:l)
DESC0171,"Looking for Olive Boots, size XL.",Email,looking olive boots size xl,boots,olive,xl,,,,,looking olive(color:olive) boots(category:boots) size xl(size:xl)
DESC0172,Do you carry Alpine Blouse for Winter 2025?,Chat,carry alpine blouse winter 2025,blouse,blue,,alpine,,,winter 2025,carry alpine(brand:alpine) blouse(category:blouse)(color:blue) winter 2025(season:winter 2025)
DESC0173,"Need size XS Sneakers this season, any brand works.",Website,need size xs sneakers season brand works,sneakers,,xs,,,,,need size xs(size:xs) sneakers(category:sneakers) season brand works
DESC0174,"Hello, do you happen to have the blue coat from Classic in size S? Let me know what's possible.",Marketplace,hello happen blue coat classic size s let know whats possible,coat,blue,s,classic,,,,hello happen blue(color:blue) coat(category:coat) classic(brand:classic) size s(size:s) let know whats possible
DESC0175,Need Urban Jeans Red size XL,Phone,need urban jeans red size xl,jeans,red,xl,urban,,,,need urban(brand:urban) jeans(category:jeans) red(color:red) size xl(size:xl)
DESC0176,"White Sandals from Nordic, size M",Website,white sandals nordic size m,sandals,white,m,nordic,,,,white(color:white) sandals(category:sandals) nordic(brand:nordic) size m(size:m)
DESC0177,"Looking for crease-resistant white sundress in L, ideally silk.",Website,looking crease-resistant white sundress l ideally silk,sundress,white,l,,silk,,,looking crease-resistant white(color:white) sundress(category:sundress) l(size:l) ideally silk(material:silk)
DESC0178,Looking for the cobalt knit sweater from Nordic in L.,Email,looking cobalt knit sweater nordic l,sweater,,l,nordic,,,,looking cobalt knit sweater(category:sweater) nordic(brand:nordic) l(size:l)
DESC0179,"Looking for ccharcoal Sundrhss by Nrdic, size XXL please.",Chat,looking ccharcoal sundrhss nrdic size xxl please,sundress,charcoal,xxl,nordic,,,,looking ccharcoal(color:charcoal) sundrhss(category:sundress) nrdic(brand:nordic) size xxl(size:xxl) please
DESC0180,"Do you have the Commfort Yoots in bnack, size XL?",Website,commfort yoots bnack size xl,,black,xl,comfort,,,,commfort(brand:comfort) yoots bnack(color:black) size xl(size:xl)
DESC0181,Need Essential Leggings Red size S,Email,need essential leggings red size s,leggings,red,s,essential,,,,need essential(brand:essential) leggings(category:leggings) red(color:red) size s(size:s)
DESC0182,"Good afternoon, I'm hoping to order the burgundy gown from Nordic in size S? Thanks so much!",Website,good afternoon im hoping order burgundy gown nordic size s thanks much,gown,burgundy,s,nordic,,,,good afternoon im hoping order burgundy(color:burgundy) gown(category:gown) nordic(brand:nordic) size s(size:s) thanks much
DESC0183,Do you carry Essential Parka for Winter 2025?,Chat,carry essential parka winter 2025,parka,,,essential,,,winter 2025,carry essential(brand:essential) parka(category:parka) winter 2025(season:winter 2025)
DESC0184,"Good afternoon, I'm checking if you carry the beige skirt from Modern in size XS? Appreciate your help.",Website,good afternoon im checking carry beige skirt modern size xs appreciate help,skirt,beige,xs,modern,,,,good afternoon im checking carry beige(color:beige) skirt(category:skirt) modern(brand:modern) size xs(size:xs) appreciate help
DESC0185,"Looking for heat-retaining gray sneakers in XS, ideally nylon.",Website,looking heat-retaining gray sneakers xs ideally nylon,sneakers,gray,xs,,nylon,,,looking heat-retaining gray(color:gray) sneakers(category:sneakers) xs(size:xs) ideally nylon(material:nylon)
DESC0186,"Searching for versatile outerwear, preferably M.",Phone,searching versatile outerwear preferably m,outerwear,,m,,,,,searching versatile outerwear(category:outerwear) preferably m(size:m)
DESC0187,Do you stock Premium's knit jumper in that olive tone? I need S.,Marketplace,stock premiums knit jumper olive tone need s,,olive,s,premium,,,,stock premiums(brand:premium) knit jumper olive(color:olive) tone need s(size:s)
DESC0188,Do you stock Premium's formal dress in that ruby red? I need S.,Website,stock premiums formal dress ruby red need s,dress,red,s,premium,,,,stock premiums(brand:premium) formal dress(category:dress) ruby red(color:red) need s(size:s)
DESC0189,"Do you have the Uran Blose in oolive, size XS?",Website,uran blose oolive size xs,blouse,olive,xs,urban,,,,uran(brand:urban) blose(category:blouse) oolive(color:olive) size xs(size:xs)
DESC0190,Do you carry Essential Jacket for Winter 2025?,Email,carry essential jacket winter 2025,jacket,,,essential,,,winter 2025,carry essential(brand:essential) jacket(category:jacket) winter 2025(season:winter 2025)
DESC0191,"Need size XXL Dress this season, any brand works.",Phone,need size xxl dress season brand works,dress,,xxl,,,,,need size xxl(size:xxl) dress(category:dress) season brand works
DESC0192,"Looking for creeam Veyt by Pemium, size XS please.",Website,looking creeam veyt pemium size xs please,,cream,xs,premium,,,,looking creeam(color:cream) veyt pemium(brand:premium) size xs(size:xs) please
DESC0193,Do you stock Urban's bermuda shorts in that deep wine? I need S.,Chat,stock urbans bermuda shorts deep wine need s,shorts,,s,urban,,,,stock urbans(brand:urban) bermuda shorts(category:shorts) deep wine need s(size:s)
DESC0194,"Do you have the Noordic Bloume in meige, size XXL?",Phone,noordic bloume meige size xxl,,blue,xxl,nordic,,,,noordic(brand:nordic) bloume(color:blue) meige size xxl(size:xxl)
DESC0195,Do you stock Elite's silky top in that navy blue? I need S.,Website,stock elites silky top navy blue need s,tops,navy,s,elite,silk,,,stock elites(brand:elite) silky(material:silk) top(category:tops) navy(color:navy) blue need s(size:s)
DESC0196,"I want Essential's wine red slip-ons in XL, please.",Marketplace,want essentials wine red slip-ons xl please,,red,xl,essential,,,,want essentials(brand:essential) wine red(color:red) slip-ons xl(size:xl) please
DESC0197,Do you stock Modern's long coat in that sage green? I need XL.,Marketplace,stock moderns long coat sage green need xl,coat,green,xl,modern,,,,stock moderns(brand:modern) long coat(category:coat) sage green(color:green) need xl(size:xl)
DESC0198,"Charcoal Leggings from Modern, size L",Chat,charcoal leggings modern size l,leggings,charcoal,l,modern,,,,charcoal(color:charcoal) leggings(category:leggings) modern(brand:modern) size l(size:l)
DESC0199,"Searching for versatile dresses, preferably S.",Email,searching versatile dresses preferably s,dresses,,s,,,,,searching versatile dresses(category:dresses) preferably s(size:s)
DESC0200,"Need size XL Gown this season, any brand works.",Marketplace,need size xl gown season brand works,gown,,xl,,,,,need size xl(size:xl) gown(category:gown) season brand works
DESC0201,"Looking for rain-ready black coat in XXL, ideally denim.",Website,looking rain-ready black coat xxl ideally denim,coat,black,xxl,,denim,,,looking rain-ready black(color:black) coat(category:coat) xxl(size:xxl) ideally denim(material:denim)
DESC0202,"Need size M Blazer this season, any brand works.",Email,need size m blazer season brand works,blazer,,m,,,,,need size m(size:m) blazer(category:blazer) season brand works
DESC0203,"Hi there, I'm checking if you carry the beige sweater from Urban in size XS? Let me know what's possible.",Website,hi im checking carry beige sweater urban size xs let know whats possible,sweater,beige,xs,urban,,,,hi im checking carry beige(color:beige) sweater(category:sweater) urban(brand:urban) size xs(size:xs) let know whats possible
DESC0204,"Hey team, I'm checking if you carry the cream boots from Nordic in size L? Let me know what's possible.",Phone,hey team im checking carry cream boots nordic size l let know whats possible,boots,cream,l,nordic,,,,hey team im checking carry cream(color:cream) boots(category:boots) nordic(brand:nordic) size l(size:l) let know whats possible
DESC0205,Looking for charcoal outerwear for Fall 2024.,Marketplace,looking charcoal outerwear fall 2024,outerwear,charcoal,,,,,fall 2024,looking charcoal(color:charcoal) outerwear(category:outerwear) fall 2024(season:fall 2024)
DESC0206,Looking for the army green slip-ons from Modern in S.,Chat,looking army green slip-ons modern s,,green,s,modern,,,,looking army green(color:green) slip-ons modern(brand:modern) s(size:s)
DESC0207,"After Charcoal option in L, preferably Heels.",Phone,charcoal option l preferably heels,heels,charcoal,l,,,,,charcoal(color:charcoal) option l(size:l) preferably heels(category:heels)
DESC0208,Looking for Style Gown Beige XS,Website,looking style gown beige xs,gown,beige,xs,style,,,,looking style(brand:style) gown(category:gown) beige(color:beige) xs(size:xs)
DESC0209,"Looking for quick-dry green cardigan in XL, ideally denim.",Marketplace,looking quick-dry green cardigan xl ideally denim,cardigan,green,xl,,denim,quick-dry,,looking quick-dry(feature:quick-dry) green(color:green) cardigan(category:cardigan) xl(size:xl) ideally denim(material:denim)
DESC0210,Looking for Nordic Gown Cream S,Marketplace,looking nordic gown cream s,gown,cream,s,nordic,,,,looking nordic(brand:nordic) gown(category:gown) cream(color:cream) s(size:s)
DESC0211,Looking for the deep blue leggings from Alpine in XS.,Website,looking deep blue leggings alpine xs,leggings,blue,xs,alpine,,,,looking deep blue(color:blue) leggings(category:leggings) alpine(brand:alpine) xs(size:xs)
DESC0212,Do you carry Classic Skirt for Winter 2025?,Marketplace,carry classic skirt winter 2025,skirt,,,classic,,,winter 2025,carry classic(brand:classic) skirt(category:skirt) winter 2025(season:winter 2025)
DESC0213,"Need something leather in a dresses style, XXL size.",Email,need something leather dresses style xxl size,dresses,,xxl,style,leather,,,need something leather(material:leather) dresses(category:dresses) style(brand:style) xxl(size:xxl) size
DESC0214,"Searching for the Modern vest finished in soft ivory, XL size.",Chat,searching modern vest finished soft ivory xl size,vest,white,xl,modern,,,,searching modern(brand:modern) vest(category:vest) finished soft ivory(color:white) xl(size:xl) size
DESC0215,"Searching for the Nordic loafers finished in chocolate, M size.",Website,searching nordic loafers finished chocolate m size,loafers,brown,m,nordic,,,,searching nordic(brand:nordic) loafers(category:loafers) finished chocolate(color:brown) m(size:m) size
DESC0216,Need Alpine Gown Green size XL,Chat,need alpine gown green size xl,gown,green,xl,alpine,,,,need alpine(brand:alpine) gown(category:gown) green(color:green) size xl(size:xl)
DESC0217,Looking for Premium Pants Navy XS,Chat,looking premium pants navy xs,pants,navy,xs,premium,,,,looking premium(brand:premium) pants(category:pants) navy(color:navy) xs(size:xs)
DESC0218,"After Navy option in M, preferably T-Shirt.",Email,navy option m preferably t-shirt,shirt,navy,m,,,,,navy(color:navy) option m(size:m) preferably t-shirt(category:shirt)
DESC0219,"After Tan option in S, preferably Shirt.",Website,tan option s preferably shirt,shirt,tan,s,,,,,tan(color:tan) option s(size:s) preferably shirt(category:shirt)
DESC0220,"Gray Sweater from Elite, size XXL",Phone,gray sweater elite size xxl,sweater,gray,xxl,elite,,,,gray(color:gray) sweater(category:sweater) elite(brand:elite) size xxl(size:xxl)
DESC0221,Do you stock Elite's dressy top in that sage green? I need L.,Email,stock elites dressy top sage green need l,dress,green,l,elite,,,,stock elites(brand:elite) dressy(category:dress) top sage green(color:green) need l(size:l)
DESC0222,Do you have any dresses options suitable for Winter 2024?,Chat,dresses options suitable winter 2024,dresses,,,,,,winter 2024,dresses(category:dresses) options suitable winter 2024(season:winter 2024)
DESC0223,"Blue Sweater from Modern, size M",Phone,blue sweater modern size m,sweater,blue,m,modern,,,,blue(color:blue) sweater(category:sweater) modern(brand:modern) size m(size:m)
DESC0224,"Need charcoal boots that are quick-drying and waterproof for Winter 2024, size XL.",Email,need charcoal boots quick-drying waterproof winter 2024 size xl,boots,charcoal,xl,,,waterproof,winter 2024,need charcoal(color:charcoal) boots(category:boots) quick-drying waterproof(feature:waterproof) winter 2024(season:winter 2024) size xl(size:xl)
DESC0225,Need Classic Vest Tan size L,Email,need classic vest tan size l,vest,tan,l,classic,,,,need classic(brand:classic) vest(category:vest) tan(color:tan) size l(size:l)
DESC0226,Do you stock Classic's a-line skirt in that sage green? I need XXL.,Website,stock classics a-line skirt sage green need xxl,skirt,green,xxl,classic,,,,stock classics(brand:classic) a-line skirt(category:skirt) sage green(color:green) need xxl(size:xxl)
DESC0227,"Good afternoon, could you help me find the gray heels from Essential in size M? Appreciate your help.",Chat,good afternoon could help find gray heels essential size m appreciate help,heels,gray,m,essential,,,,good afternoon could help find gray(color:gray) heels(category:heels) essential(brand:essential) size m(size:m) appreciate help
DESC0228,"Want jacket with UV-protective performance, red in XXL for Fall 2024.",Website,want jacket uv-protective performance red xxl fall 2024,jacket,red,xxl,,,,fall 2024,want jacket(category:jacket) uv-protective performance red(color:red) xxl(size:xxl) fall 2024(season:fall 2024)
DESC0229,"Looking for nevy Poolo by Aodern, size S please.",Website,looking nevy poolo aodern size s please,polo,,s,modern,,,,looking nevy poolo(category:polo) aodern(brand:modern) size s(size:s) please
DESC0230,"Good afternoon, I'm checking if you carry the navy sandals from Classic in size S? Thanks so much!",Website,good afternoon im checking carry navy sandals classic size s thanks much,sandals,navy,s,classic,,,,good afternoon im checking carry navy(color:navy) sandals(category:sandals) classic(brand:classic) size s(size:s) thanks much
DESC0231,"Looking for bevge Snakers by Classzc, size S please.",Website,looking bevge snakers classzc size s please,sneakers,beige,s,classic,,,,looking bevge(color:beige) snakers(category:sneakers) classzc(brand:classic) size s(size:s) please
DESC0232,"After White option in XS, preferably Heels.",Marketplace,white option xs preferably heels,heels,white,xs,,,,,white(color:white) option xs(size:xs) preferably heels(category:heels)
DESC0233,"Good afternoon, could you help me find the cream cardigan from Elite in size XS? Appreciate your help.",Chat,good afternoon could help find cream cardigan elite size xs appreciate help,cardigan,cream,xs,elite,,,,good afternoon could help find cream(color:cream) cardigan(category:cardigan) elite(brand:elite) size xs(size:xs) appreciate help
DESC0234,"Do you have the Eliite Blose in oliev, size M?",Phone,eliite blose oliev size m,blouse,olive,m,elite,,,,eliite(brand:elite) blose(category:blouse) oliev(color:olive) size m(size:m)
DESC0235,Need Norrdic's whie Gmwn sz XL asap.,Marketplace,need norrdics whie gmwn sz xl asap,,white,xl,nordic,,,,need norrdics(brand:nordic) whie(color:white) gmwn sz xl(size:xl) asap
DESC0236,Looking for the soft ivory day dress from Elite in XS.,Phone,looking soft ivory day dress elite xs,dress,white,xs,elite,,,,looking soft ivory(color:white) day dress(category:dress) elite(brand:elite) xs(size:xs)
DESC0237,Do you carry Elite Jacket for Summer 2024?,Email,carry elite jacket summer 2024,jacket,,,elite,,,summer 2024,carry elite(brand:elite) jacket(category:jacket) summer 2024(season:summer 2024)
DESC0238,Looking for Style Jacket Tan XXL,Chat,looking style jacket tan xxl,jacket,tan,xxl,style,,,,looking style(brand:style) jacket(category:jacket) tan(color:tan) xxl(size:xxl)
DESC0239,"Want dress with sweat-wicking performance, gray in M for Winter 2024.",Website,want dress sweat-wicking performance gray m winter 2024,dress,gray,m,,,,winter 2024,want dress(category:dress) sweat-wicking performance gray(color:gray) m(size:m) winter 2024(season:winter 2024)
DESC0240,"I want Comfort's maroon blazer in M, please.",Chat,want comforts maroon blazer m please,blazer,brown,m,comfort,,,,want comforts(brand:comfort) maroon(color:brown) blazer(category:blazer) m(size:m) please
DESC0241,Do you stock Alpine's weather boots in that emerald? I need XXL.,Website,stock alpines weather boots emerald need xxl,boots,,xxl,alpine,leather,,,stock alpines(brand:alpine) weather(material:leather) boots(category:boots) emerald need xxl(size:xxl)
DESC0242,"Searching for the Alpine cold-weather coat finished in khaki, L size.",Marketplace,searching alpine cold-weather coat finished khaki l size,coat,tan,l,alpine,,,,searching alpine(brand:alpine) cold-weather coat(category:coat) finished khaki(color:tan) l(size:l) size
DESC0243,"Good afternoon, I'm checking if you carry the olive sneakers from Elite in size XL? Thanks so much!",Email,good afternoon im checking carry olive sneakers elite size xl thanks much,sneakers,olive,xl,elite,,,,good afternoon im checking carry olive(color:olive) sneakers(category:sneakers) elite(brand:elite) size xl(size:xl) thanks much
DESC0244,"Want cream option in dresses, open to suggestions.",Website,want cream option dresses open suggestions,dresses,cream,,,,,,want cream(color:cream) option dresses(category:dresses) open suggestions
DESC0245,Do you carry Essential Dress for Spring 2024?,Email,carry essential dress spring 2024,dress,,,essential,,,spring 2024,carry essential(brand:essential) dress(category:dress) spring 2024(season:spring 2024)
DESC0246,Need Classic Blouse Cream size S,Phone,need classic blouse cream size s,blouse,blue,s,classic,,,,need classic(brand:classic) blouse(category:blouse)(color:blue) cream size s(size:s)
DESC0247,"Charcoal Sandals from Modern, size M",Website,charcoal sandals modern size m,sandals,charcoal,m,modern,,,,charcoal(color:charcoal) sandals(category:sandals) modern(brand:modern) size m(size:m)
DESC0248,Do you stock Alpine's t-shirt in that charcoal tone? I need XS.,Website,stock alpines t-shirt charcoal tone need xs,shirt,charcoal,xs,alpine,,,,stock alpines(brand:alpine) t-shirt(category:shirt) charcoal(color:charcoal) tone need xs(size:xs)
DESC0249,Looking for Elite Sundress Red L,Website,looking elite sundress red l,sundress,red,l,elite,,,,looking elite(brand:elite) sundress(category:sundress) red(color:red) l(size:l)
DESC0250,"Looking for keeps-dry charcoal dress in M, ideally wool.",Marketplace,looking keeps-dry charcoal dress m ideally wool,dress,charcoal,m,,wool,,,looking keeps-dry charcoal(color:charcoal) dress(category:dress) m(size:m) ideally wool(material:wool)
